nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0048605,tt0045810,tt0050861,tt0053291
nm0000055	Alfred Newman	1901	1970	music_department,composer,soundtrack	tt0042192,tt0434409,tt0065377,tt0056085
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0084855,tt0090863,tt0061512,tt0054997
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0074937,tt0052182,tt0061452,tt0057413
nm0000058	Maureen O'Hara	1920	2015	actress,soundtrack	tt0039628,tt0041149,tt0055277,tt0045061
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0069281,tt0054331,tt0032976,tt0040416
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0046250,tt0039416,tt0056592,tt0054953
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0051201,tt0043959,tt0038873,tt0032762
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0053848,tt0056023,tt0054692,tt0056585
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0057831,tt0074896,tt0049456,tt0056172
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0040506,tt0021079,tt0070723,tt0036775
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0063518,tt0071562,tt0068646,tt0056801
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0043476,tt0045177,tt0045810,tt0043643
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0038109,tt0054847,tt0036775,tt0052618
nm0000068	Randolph Scott	1898	1987	actor,producer,soundtrack	tt0056412,tt0049743,tt0051047,tt0026942
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0056218,tt0050815,tt0052218,tt0045793
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0036613,tt0031381,tt0034583,tt0040897
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0032904,tt0031679,tt0052561,tt0052357
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0053318,tt0061184,tt0056937,tt0051459
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0040369,tt0030657,tt0032264,tt0027421
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0039420,tt0038492,tt0037865,tt0037008
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0061735,tt0053946,tt0055031,tt0057193
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0075860,tt0070460,tt0053198,tt0055032
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0032976,tt0043014,tt0034248,tt0043924
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0065126,tt0057298,tt0056217,tt0053580
nm0000079	Raquel Welch	1940	\N	actress,soundtrack,producer	tt0060397,tt0072281,tt0070291,tt0250494
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0057427,tt0052311,tt0033467,tt0059012
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0055614,tt0055471,tt0048545,tt0057263
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt0048960,tt3315342,tt0119094,tt0045061
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt0424773,tt0969216,tt0170560
nm0000084	Li Gong	1965	\N	actress	tt0101640,tt0397535,tt0430357,tt0473444
nm0000085	Henner Hofmann	1950	\N	cinematographer,producer,camera_department	tt0097523,tt0097738,tt0113482,tt1825758
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0079200,tt0083109,tt0069747,tt0074103
nm0000087	Elena Koreneva	1953	\N	actress,casting_director	tt0122969,tt0080912,tt5847740,tt0123138
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0191104,tt0049397,tt0100069,tt0068304
nm0000089	Richard Paul	1940	1998	actor	tt0117318,tt0075489,tt0088529,tt0093778
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0117631,tt0963178,tt0139809,tt0765443
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0064297,tt0152930,tt0421974,tt0282552
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0095159,tt0085959,tt0071853,tt0063929
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0114746,tt1210166,tt0356910,tt0421715
nm0000094	J. Reifel	\N	\N	writer	tt0116030,tt0118631,tt0117915,tt0118886
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0091167,tt0079522,tt0097123,tt0075686
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt0106179,tt2294189,tt0455590,tt0442632
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0426592,tt0306047,tt0267913,tt0115624
nm0000098	Jennifer Aniston	1969	\N	actress,producer,soundtrack	tt1038919,tt1723121,tt3442006,tt0108778
nm0000099	Patricia Arquette	1968	\N	actress,director,soundtrack	tt0145531,tt1065073,tt0412175,tt0108399
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt0109831,tt0274166,tt0118689,tt0110357
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0118747,tt0080455,tt0087332,tt0097428
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0327056,tt0087277,tt0164052,tt0361127
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0115963,tt0120586,tt0181875,tt0089908
nm0000104	Antonio Banderas	1960	\N	actor,soundtrack,producer	tt0120657,tt0120746,tt1189073,tt0285823
nm0000105	Adrienne Barbeau	1945	\N	actress,writer,soundtrack	tt0083767,tt0080749,tt1024648,tt0082340
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0120888,tt0120631,tt0151738,tt0343660
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0096895,tt0337921,tt0109890,tt0119488
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt0100263,tt0119116,tt0110413,tt0151137
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0131857,tt0115285,tt0119271,tt0337851
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt3402236,tt0107616,tt0097499,tt0116477
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0086567,tt0395251,tt0115798,tt0091042
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0113189,tt0120347,tt0795421,tt0143145
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt0111257,tt1454468,tt1041829,tt0212346
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt0105236,tt0116282,tt4686844,tt0162346
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0119094,tt0113627,tt0117500,tt0435705
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0499549,tt0090605,tt0103064,tt0120338
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0120082,tt0117571,tt0134084,tt1262416
nm0000118	John Carpenter	1948	\N	soundtrack,writer,music_department	tt0080749,tt0082340,tt0077651,tt0093777
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0105793,tt0207919,tt0111503,tt0275847
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0338013,tt0315327,tt0120382,tt0109040
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0101775,tt0099700,tt0087363,tt0083929
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0044837,tt0027977,tt0039631,tt0032553
nm0000123	George Clooney	1961	\N	actor,producer,director	tt0465538,tt1193138,tt1124035,tt0365737
nm0000124	Jennifer Connelly	1970	\N	actress	tt0180093,tt0315983,tt0102803,tt0268978
nm0000125	Sean Connery	1930	\N	actor,producer,soundtrack	tt0117500,tt0094226,tt0059800,tt0058150
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0099348,tt0102798,tt0103855,tt0119925
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0087800,tt0111686,tt0105121,tt0117571
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt1707386,tt0172495,tt0268978,tt0119488
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0092099,tt0120755,tt0116695,tt0325710
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt0111503,tt0086465,tt0095159,tt0322330
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0450385,tt0098258,tt0119229,tt0146882
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0108872,tt0117509,tt0274558,tt1796960
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0116908,tt0103074,tt0091064,tt0164912
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0081398,tt0070379,tt0101540,tt0075314
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt0120591,tt0076489,tt3967856,tt4649466
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0383574,tt0449088,tt0325980,tt0408236
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0099656,tt0086987,tt0083170,tt0114694
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0993846,tt0120338,tt0407887,tt1375666
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0259711,tt0129387,tt0119738,tt0160127
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt1291580,tt0103772,tt0093010,tt0094291
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0106179,tt0904208,tt0443701,tt0120902
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0105695,tt0112579,tt1205489,tt0405159
nm0000143	Erika Eleniak	1969	\N	actress	tt0105690,tt0106400,tt0083866,tt0094761
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0119468,tt0387564,tt0107977,tt0093779
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0098936,tt0100935,tt0105046,tt0092240
nm0000146	Ralph Fiennes	1962	\N	actor,director,soundtrack	tt0108052,tt2278388,tt0387131,tt0114558
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt0795421,tt1504320,tt1315981,tt0243155
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0106977,tt0082971,tt0090329,tt0118571
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0102926,tt0118884,tt0075314,tt0094608
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0088763,tt0116365,tt0115369,tt0096874
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0405159,tt1057500,tt0114369,tt0097239
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0119395,tt0100405,tt0299658,tt0358135
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt1726669,tt0114436,tt0115736,tt0431308
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0104714,tt0286106,tt0117438,tt0112573
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0108147,tt0088939,tt0099653,tt0105417
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt2278388,tt0091064,tt0107290,tt0116629
nm0000157	Linda Hamilton	1956	\N	actress	tt0118928,tt0087050,tt0088247,tt0103064
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0109830,tt0094737,tt0162222,tt0120815
nm0000159	Teri Hatcher	1964	\N	actress,soundtrack,writer	tt0410975,tt0106057,tt0120347,tt0327597
nm0000160	Ethan Hawke	1970	\N	actor,writer,director	tt0139654,tt0381681,tt2209418,tt0112471
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt0120891,tt1615065,tt0112851,tt0120679
nm0000162	Anne Heche	1969	\N	actress,writer,producer	tt0120885,tt0120828,tt0251160,tt0119008
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0061722,tt0064665,tt0084805,tt0095953
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0102926,tt0975645,tt0212985,tt0119051
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0268978,tt0367279,tt0870111,tt0112384
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0117998,tt0162222,tt0103484,tt0119822
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0118655,tt0230030,tt0145660,tt0105104
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt3460252,tt0110912,tt0119396,tt0417148
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0477348,tt0106977,tt0443272,tt2398231
nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,composer	tt0432021,tt1220634,tt1220198,tt0119116
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0113277,tt0120679,tt0150377,tt0470705
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt0110912,tt0103759,tt0105236,tt2278388
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0274558,tt0203009,tt0159365,tt0230600
nm0000174	Val Kilmer	1959	\N	actor,soundtrack,producer	tt0373469,tt0235737,tt0120053,tt0101761
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0083767,tt0091499,tt0111161,tt0120689
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0111400,tt0080009,tt0087884,tt0083722
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,director	tt0119360,tt0113117,tt0095159,tt0120891
nm0000178	Diane Lane	1965	\N	actress,soundtrack	tt0250797,tt0328589,tt0770828,tt2096673
nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt2278388,tt0376541,tt0134119,tt0346156
nm0000180	David Lean	1908	1991	editor,director,writer	tt0056172,tt0037558,tt0059113,tt0050212
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0087262,tt0103491,tt0119695,tt0380623
nm0000182	Jennifer Lopez	1969	\N	actress,producer,soundtrack	tt3181822,tt0299930,tt0278435,tt0252076
nm0000183	Traci Lords	1968	\N	actress,soundtrack,producer	tt0120611,tt0099329,tt1984153,tt1007028
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0069704,tt0076759,tt0066434,tt0082971
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt0089927,tt0105698,tt1764651,tt0113481
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0105665,tt0098936,tt0460829,tt0166924
nm0000187	Madonna	1958	\N	soundtrack,actress,music_department	tt0116250,tt0099422,tt0156841,tt0246460
nm0000188	Steve Martin	1945	\N	writer,actor,soundtrack	tt0093886,tt0102250,tt0131325,tt0079367
nm0000189	Jenny McCarthy	1972	\N	actress,producer,writer	tt0134084,tt0455967,tt0131857,tt0327643
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt1935179,tt0790636,tt1726669,tt1915581
nm0000191	Ewan McGregor	1971	\N	actor,writer,soundtrack	tt0203009,tt0117951,tt2763304,tt1322269
nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0086827,tt0116287,tt0158552,tt0088944
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0117765,tt0119173,tt0305357,tt0107211
nm0000194	Julianne Moore	1960	\N	actress,soundtrack,producer	tt0274558,tt3316960,tt2172584,tt0842926
nm0000195	Bill Murray	1950	\N	actor,soundtrack,writer	tt0128445,tt1748122,tt0335266,tt0362270
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0145660,tt0118655,tt0811138,tt0295178
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0119822,tt0073486,tt0407887,tt0071315
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt1340800,tt0468569,tt0103874,tt4555426
nm0000199	Al Pacino	1940	\N	actor,soundtrack,director	tt0070666,tt0068646,tt0072890,tt0099422
nm0000200	Bill Paxton	1955	2017	actor,producer,writer	tt0264616,tt0090605,tt0112384,tt0117998
nm0000201	Michelle Pfeiffer	1958	\N	actress,soundtrack,producer	tt0161081,tt0112792,tt0427327,tt0117247
nm0000202	Ryan Phillippe	1974	\N	actor,producer,director	tt0139134,tt0375679,tt0280707,tt0202677
nm0000203	River Phoenix	1970	1993	actor,soundtrack	tt0096018,tt0091557,tt0102494,tt0092005
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0376541,tt1619029,tt0947798,tt0434409
nm0000205	Parker Posey	1968	\N	actress,soundtrack,writer	tt0406759,tt0134084,tt0359013,tt0348150
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0102685,tt0133093,tt0111257,tt0234215
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0811080,tt0101272,tt0118789,tt0112642
nm0000208	Molly Ringwald	1968	\N	actress,soundtrack,music_department	tt0091790,tt0088128,tt0095169,tt0088847
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0094812,tt0327056,tt0105151,tt0111161
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0195685,tt0119738,tt0100405,tt1322269
nm0000211	Mimi Rogers	1956	\N	actress,producer,soundtrack	tt0120738,tt0488085,tt0118655,tt0210070
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0108160,tt0120632,tt0098635,tt0128853
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0099487,tt0172493,tt0110367,tt0118583
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0112515,tt0089469,tt0111438,tt0091042
nm0000215	Susan Sarandon	1946	\N	actress,producer,soundtrack	tt0112818,tt0103074,tt0120686,tt0094812
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0093894,tt0111503,tt0093773,tt0103064
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0099685,tt0075314,tt0070379,tt0106226
nm0000218	Kristin Scott Thomas	1960	\N	actress,soundtrack,director	tt0109831,tt0116209,tt0280707,tt1602613
nm0000219	Steven Seagal	1952	\N	producer,actor,writer	tt0242445,tt0094602,tt0105690,tt0110725
nm0000220	Joan Severance	1958	\N	actress,producer	tt0112519,tt0099141,tt0098282,tt0115696
